Price,Close,High,Low,Open,Volume
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
Date,,,,,
2024-10-08,3532.39990234375,3538.5,3469.0,3492.949951171875,2249452
2024-10-09,3487.10009765625,3557.699951171875,3481.0,3542.050048828125,1645791
2024-10-10,3460.35009765625,3554.89990234375,3455.5,3515.0,2686116
2024-10-11,3482.550048828125,3497.10009765625,3447.0,3469.39990234375,1280465
2024-10-14,3555.050048828125,3573.85009765625,3501.300048828125,3510.0,1974378
2024-10-15,3551.89990234375,3570.0,3520.14990234375,3570.0,1231552
2024-10-16,3532.60009765625,3581.89990234375,3513.550048828125,3550.0,1961835
2024-10-17,3570.300048828125,3583.0,3521.800048828125,3549.89990234375,2968537
2024-10-18,3577.800048828125,3592.449951171875,3540.25,3569.949951171875,2102609
2024-10-21,3585.60009765625,3621.949951171875,3571.300048828125,3580.0,1750549
2024-10-22,3511.89990234375,3591.64990234375,3500.0,3585.0,1363574
2024-10-23,3455.39990234375,3513.949951171875,3443.0,3501.050048828125,2125268
2024-10-24,3442.64990234375,3474.60009765625,3416.75,3444.0,1924421
2024-10-25,3326.39990234375,3435.0,3315.050048828125,3425.0,3236774
2024-10-28,3340.800048828125,3373.0,3262.550048828125,3316.0,2991674
2024-10-29,3380.89990234375,3384.39990234375,3316.0,3316.0,2253467
2024-10-30,3408.35009765625,3438.39990234375,3353.0,3379.949951171875,1785128
2024-10-31,3622.300048828125,3654.949951171875,3508.35009765625,3530.0,7637083
2024-11-01,3626.35009765625,3641.89990234375,3620.0,3624.949951171875,212796
2024-11-04,3574.449951171875,3624.949951171875,3530.89990234375,3624.949951171875,1724189
2024-11-05,3574.800048828125,3585.0,3541.89990234375,3556.0,1251506
2024-11-06,3645.449951171875,3659.89990234375,3557.39990234375,3594.0,1819732
2024-11-07,3646.550048828125,3663.0,3620.0,3647.35009765625,1581009
2024-11-08,3660.300048828125,3667.0,3620.64990234375,3640.39990234375,1622142
2024-11-11,3628.85009765625,3661.0,3606.0,3646.0,926127
2024-11-12,3591.35009765625,3651.0,3580.0,3650.0,1116206
2024-11-13,3547.949951171875,3604.85009765625,3535.64990234375,3585.0,1568694
2024-11-14,3526.25,3565.75,3500.14990234375,3558.0,1291765
2024-11-18,3542.14990234375,3568.300048828125,3510.85009765625,3521.10009765625,1233217
